;NH4;NO3;N_s;N_f;D
94;6.110339531815061;201.9274371101738;9971.685802687096;8337.62908237213;0.1777473837371379
95;5.27158679610309;216.8826542698184;10188.42387712767;8518.756250050184;0.19007686469859594
96;4.1438402633075375;200.78040178770448;10403.645139617769;8701.950930188354;0.2184601713273533
97;3.4018302445941657;159.53467621775152;10621.932311867009;8888.71600676186;0.22555911038327608
98;1.7367755537770826;118.96697588142267;10838.888857976895;9078.973397401278;0.3024831815622639
99;1.8524357265301807;98.80279710560141;11060.853912127699;9271.56098813129;0.33031316827154034
100;1.5279403934863725;100.79131861180939;11293.14898930273;9465.274473986748;0.30182644564286376
101;1.0804684735720242;101.02296708161967;11526.486982709033;9663.1894828502;0.33949732628262264
102;0.991608801019706;101.17963559711968;11765.957526540404;9864.883347512785;0.3424997107358175
103;1.038841192172732;90.41188752441022;12008.930100260688;10072.094050176625;0.30305751457738506
104;0.7961166141185751;72.75495430464558;12248.923980643445;10284.433171056344;0.31058792185642903
105;0.5747589298328661;57.214336207235455;12485.074225492841;10500.206985752411;0.36078390341116756
106;0.3591980591462748;41.191777856370805;12714.713427955268;10717.859065867058;0.44122569553316104
107;0.18435528492193798;26.29497680966207;12922.16086140627;10938.317249157848;0.5406863875527659
108;0.42469945812615323;24.848076642434485;13145.426559323992;11161.224726550947;0.5224348949964576
109;0.7026549791908954;33.4118483827697;13471.532730773384;11388.580555060455;0.4021122446481355
110;0.9108905320553727;40.685237203718955;13785.920345693143;11621.51115769534;0.31101850742001597
111;1.0173800115253255;42.010817898740065;14081.024699127713;11858.225388436602;0.2910115747262254
112;0.3997009781744639;33.17458947770252;14339.589893264518;12097.84569379377;0.37700977313927675
113;0.45343796222290017;30.880557225094353;14595.22042400052;12342.67495425145;0.4399263150840723
114;0.9039470617548457;40.93446029384961;14930.108275182365;12593.159365582269;0.4002077012085371
115;0.5777492016499762;42.03351974319833;15253.057140098163;12851.098748713492;0.4292914422069035
116;0.9435017080134575;64.04737250134534;15600.067223598322;13117.457361221606;0.40466295067884683
117;1.1462355681177638;87.46833774529162;15959.450217498068;13388.832821400036;0.3568773358666687
118;1.1129291510238017;104.13560727452233;16301.307935456682;13665.061004197618;0.356003112797909
119;0.3568457721012706;91.61451288818404;16625.1989799289;13944.828391479825;0.48540944083331705
120;0.15479372825022575;61.003811253119565;16928.49844119851;14229.315584345577;0.6942214805154321
121;0.13140659352711;36.47451844947703;17208.87653214179;14519.762497771271;0.8496301946768012
122;1.1742885564253953;35.240516162108385;17549.738271303413;14808.703154715817;0.5900853275589636
123;1.814711740735544;39.48995594462024;17944.57996718646;15094.199335311052;0.3737086010531998
124;2.4022529892688556;48.73627525121134;18318.85181150716;15382.663539184925;0.28274175218772696
125;3.3153396854790964;59.23598415913386;18691.793132917166;15675.17648762994;0.23876405343337875
126;3.4850944218521542;60.05131147904443;19051.948945599885;15970.316827349046;0.23509053180966588
127;1.4996021181843922;52.8308242916293;19384.515997243885;16268.343069527915;0.34455088766773445
128;0.6771390722846509;42.419654256876065;19700.481127481573;16570.661871181204;0.4830661611012518
129;0.6393220733844397;37.54389964157779;20034.989209866373;16878.04043467443;0.5517608161403661
130;0.13820553947457231;21.865452741549287;20333.03989475009;17189.133803964563;0.7138657568111437
131;0.64876967609063;38.75461160271497;20693.33069302195;17504.52621655775;0.5323473250977231
132;2.1685079371793563;90.94126113519881;21263.819926672844;17826.77210547732;0.2792540848140695
133;1.367130481303713;105.55097869263676;21678.03807591588;18154.491559514987;0.34106463701105133
134;2.2384639052005673;110.8755770030054;22079.80876676329;18485.660528061308;0.3579857002918832
135;2.018762355160326;116.9645748606221;22484.855742937667;18822.086746942612;0.34516158496267174
136;1.2872560062238816;108.98434332681927;22886.929812972416;19166.649654378067;0.35676420921123086
137;0.9394938165800117;108.0042049577693;23299.78197561398;19517.6924419693;0.3672326098904739
138;0.18854078699648938;83.49112121837992;23701.52456438795;19874.543675332618;0.5812061495550949
139;1.1114714277369782;49.30751818375635;24089.60478858061;20230.28713811921;0.5348114791799069
140;1.8072677635928533;41.97700052907385;24497.830036326795;20583.038064679025;0.3983764715923471
141;4.639617302719995;68.80531534287279;24984.92666213685;20936.327076111582;0.26870729591270387
142;1.8335216363992946;70.5611306165914;25416.583513011014;21293.196041410345;0.37771538095546364
143;4.583218780463512;77.24248565704293;25864.24957277079;21652.766951137946;0.27177133018714394
144;4.810332849794219;90.59517718835484;26311.22867606213;22015.30318235816;0.2537282959221259
145;2.802272934748278;92.63897639935274;26744.69260570495;22381.406102001398;0.33164097085043337
146;1.445724965700429;74.8014272276893;27159.834715821526;22751.3855287973;0.3743311359428041
147;2.3583420538793063;85.48607225385148;27615.327260510403;23124.64929477959;0.3300943068019266
148;0.601040786459933;76.71674013375167;28049.661014330828;23503.27473071433;0.4504360602551807
149;0.1933052764821871;49.83597938641229;28443.0498610589;23892.103520677123;0.7096161575657378
150;0.11590778746290534;26.302137796021572;28794.986519227474;24287.51279845741;0.8874476143189677
151;0.3167573412729077;30.659331403235914;29211.92265128562;24685.373903956617;0.4422411524128117
152;0.36514635754577307;35.40676508109561;29763.3914282657;25085.05593872461;0.3229799149581477
153;0.49701303777075456;46.03509980079215;30300.31403551209;25487.380749038733;0.3972538112653531
