farm;lat;lon;fw;Nf;Ns
664;43.488000;4.1400000;1136.00;40796.5;89990.8
665;40.478000;22.710000;1134.93;40758.0;89622.0
666;37.508000;8.9300000;1134.43;40740.1;71224.5
667;43.428000;-3.3500000;1133.92;40722.0;89051.7
668;38.648000;1.5300000;1133.12;40693.1;56009.9
669;37.168000;10.310000;1131.74;40643.7;79115.6
670;37.488000;8.8300000;1131.02;40617.8;75567.5
671;43.458000;-2.8800000;1129.77;40572.8;88395.4
672;43.588000;-6.8600000;1129.67;40569.4;88557.5
673;36.978000;8.2400000;1127.22;40481.2;73399.9
674;37.568000;8.8800000;1127.12;40477.6;76678.0
675;41.468000;2.2800000;1127.07;40475.7;66200.3
676;41.518000;2.5300000;1125.18;40407.9;60652.1
677;41.848000;3.1100000;1123.13;40334.5;83589.5
678;36.868000;4.8800000;1122.51;40312.1;75822.4
679;38.648000;26.730000;1121.19;40264.7;51700.9
680;39.108000;1.5900000;1119.52;40204.6;51877.9
681;31.458000;30.230000;1118.12;40154.6;88397.7
682;41.178000;1.8000000;1116.05;40080.3;77613.3
683;43.338000;-2.3900000;1116.05;40080.3;87392.3
684;41.228000;1.9000000;1116.03;40079.3;57904.5
685;43.588000;-6.2000000;1115.11;40046.2;86277.1
686;41.718000;12.210000;1112.97;39969.6;87510.4
687;43.368000;4.4100000;1112.01;39935.2;87534.8
688;43.428000;-3.2900000;1111.15;39904.2;87299.8
689;38.978000;1.2700000;1110.81;39891.9;49620.1
690;37.108000;11.040000;1110.46;39879.4;76792.2
691;37.378000;10.140000;1110.14;39867.8;63877.2
692;37.058000;-8.1500000;1109.80;39855.7;88873.7
693;31.488000;31.760000;1109.68;39851.5;88003.7
694;43.398000;-3.2100000;1109.64;39850.1;87181.6
695;43.148000;3.2000000;1108.52;39809.9;85491.4
696;43.348000;-2.4500000;1107.90;39787.4;86026.1
697;36.978000;8.3000000;1106.98;39754.6;68661.0
698;43.918000;-1.4000000;1105.55;39703.2;87615.9
699;40.428000;-8.8100000;1105.49;39701.0;79133.6
700;37.368000;10.060000;1103.91;39644.2;62840.7
701;41.268000;2.0200000;1103.36;39624.3;84606.0
702;45.618000;-1.2400000;1103.31;39622.4;87578.2
703;43.178000;3.3200000;1103.17;39617.6;84011.8
704;41.598000;2.6100000;1102.86;39606.3;71547.7
705;31.328000;32.230000;1100.77;39531.5;87789.8
706;43.428000;-2.6500000;1099.67;39491.8;85760.0
707;43.508000;-3.6300000;1099.40;39482.1;84267.2
708;43.398000;-2.5500000;1099.20;39475.1;85867.0
709;37.078000;-8.3600000;1097.25;39405.1;86288.7
710;39.038000;1.6300000;1097.13;39400.5;42955.2
711;36.688000;34.940000;1096.59;39381.3;86509.1
712;38.488000;26.760000;1095.48;39341.3;16042.2
713;43.348000;4.4700000;1094.59;39309.4;86151.9
714;39.628000;2.3700000;1094.09;39291.4;68174.8
715;36.808000;12.060000;1093.77;39280.1;55653.4
716;43.458000;-4.0000000;1091.50;39198.5;83776.1
717;38.888000;17.100000;1089.21;39116.3;55780.8
718;36.938000;8.1600000;1089.18;39115.3;54786.4
719;42.448000;3.1900000;1088.83;39102.7;78672.3
720;40.478000;22.790000;1087.67;39061.0;85513.6
721;37.048000;11.090000;1087.52;39055.6;76993.6
722;43.318000;-2.1800000;1087.30;39047.7;84626.6
723;37.118000;10.880000;1085.44;38980.9;69700.0
724;43.568000;-5.3800000;1084.87;38960.5;80435.6
725;42.128000;3.1800000;1084.13;38934.0;51217.9
726;38.858000;8.4200000;1083.42;38908.2;82321.7
727;36.558000;35.560000;1082.94;38891.2;85973.5
728;43.428000;-4.1600000;1081.20;38828.7;84601.4
729;38.898000;17.030000;1080.77;38813.0;52611.2
730;39.948000;3.1100000;1080.50;38803.5;65667.9
731;38.838000;1.3700000;1080.48;38802.7;31890.9
732;36.848000;11.980000;1080.36;38798.5;75666.8
733;45.678000;-1.2700000;1078.71;38739.3;85704.5
734;42.428000;-8.7000000;1078.44;38729.6;69332.5
735;38.838000;0.18000000;1078.08;38716.7;60503.4
736;45.188000;-1.1900000;1077.50;38695.7;85401.3
737;41.778000;12.210000;1076.26;38651.1;84877.1
738;39.968000;3.1700000;1075.88;38637.6;64247.9
739;43.408000;-3.0000000;1075.82;38635.3;83233.5
740;43.458000;-2.7300000;1074.41;38584.9;82849.9
741;41.488000;2.3500000;1074.13;38574.7;69129.2
742;43.378000;4.3500000;1073.59;38555.4;84543.9
743;37.248000;9.2100000;1073.26;38543.4;71849.0
744;41.168000;1.4900000;1073.10;38537.6;76778.2
745;37.558000;12.750000;1072.86;38529.1;76457.1
746;43.588000;-6.6400000;1072.37;38511.4;84114.6
747;37.358000;9.8500000;1071.95;38496.5;66589.0
748;37.158000;12.090000;1070.97;38461.4;50722.8
749;36.778000;12.810000;1070.64;38449.4;79072.7
750;36.638000;15.080000;1069.76;38417.8;52675.1
751;36.978000;7.8000000;1069.52;38409.3;73730.9
752;37.358000;9.7800000;1069.44;38406.1;66878.9
753;36.788000;5.1000000;1069.40;38405.0;68834.7
754;43.338000;4.5800000;1068.97;38389.4;84358.4
755;31.558000;32.130000;1068.80;38383.2;84773.2
756;43.338000;-1.9800000;1068.17;38360.6;84028.4
757;41.508000;2.4100000;1068.15;38359.9;64880.4
758;40.728000;25.840000;1067.96;38353.1;57957.4
759;40.408000;22.700000;1066.99;38318.1;76725.4
760;43.338000;-1.9200000;1066.90;38315.0;83626.2
761;37.358000;9.6700000;1066.51;38301.0;70255.8
762;43.278000;5.3000000;1065.99;38282.3;78196.5
763;39.568000;2.3500000;1065.51;38265.1;65964.1
764;42.978000;-9.2700000;1064.91;38243.5;81577.6
765;39.968000;3.2300000;1064.71;38236.3;65511.9
766;36.818000;5.0100000;1062.95;38173.3;67905.5
767;43.688000;-7.3400000;1062.05;38140.9;81668.0
768;37.318000;9.4200000;1061.36;38116.1;72763.5
769;43.708000;-7.4000000;1061.28;38113.1;81702.3
770;42.638000;-9.0500000;1061.27;38112.7;80515.2
771;39.658000;2.4400000;1061.25;38112.3;54210.4
772;37.208000;10.250000;1061.03;38104.3;50349.6
773;36.558000;35.500000;1060.76;38094.7;84141.3
774;39.948000;3.0500000;1060.70;38092.5;63869.0
775;45.578000;-1.1500000;1060.70;38092.3;84336.5
776;43.588000;-6.7700000;1060.48;38084.5;82084.0
777;36.628000;15.020000;1060.41;38081.9;69323.6
778;36.988000;11.110000;1059.86;38062.3;67937.6
779;39.018000;17.220000;1059.81;38060.4;54104.3
780;36.078000;35.950000;1059.49;38048.9;84070.4
781;36.838000;5.7700000;1058.58;38016.4;73465.4
782;36.918000;8.4900000;1058.07;37998.0;50226.3
783;40.818000;0.82000000;1057.95;37993.5;83412.2
784;39.928000;2.9600000;1057.65;37983.0;65603.8
785;45.648000;-1.1100000;1057.64;37982.4;84178.0
786;38.218000;-0.44000000;1056.00;37923.6;35063.1
787;44.158000;-1.3600000;1055.81;37916.7;82446.6
788;44.348000;-1.3300000;1055.61;37909.5;82705.5
789;45.618000;-1.3000000;1055.24;37896.1;83626.5
790;41.648000;2.7600000;1055.03;37888.7;73542.2
791;36.938000;8.3800000;1055.02;37888.5;46676.6
792;37.168000;9.0600000;1054.77;37879.3;63556.9
793;43.328000;5.0400000;1054.70;37876.8;83240.9
794;43.248000;5.3600000;1053.93;37849.1;72581.3
795;43.568000;-7.0700000;1053.81;37844.8;70655.4
796;37.238000;9.2700000;1052.64;37802.9;67310.8
797;43.108000;-9.2000000;1052.44;37795.9;80117.0
798;41.738000;2.9600000;1051.80;37772.9;73746.3
799;45.648000;-1.1800000;1051.69;37768.8;83645.4
800;31.538000;30.770000;1050.97;37742.8;84064.8
801;36.908000;8.1000000;1049.83;37702.0;51756.2
802;37.098000;7.3800000;1049.26;37681.4;74227.4
803;39.838000;2.7200000;1048.98;37671.4;64934.9
804;36.758000;-2.0900000;1048.93;37669.8;82159.8
805;36.948000;8.5600000;1048.09;37639.5;53686.4
806;31.388000;32.250000;1047.61;37622.1;83541.1
807;41.898000;3.2000000;1047.55;37620.2;80644.8
808;39.698000;2.5000000;1047.40;37614.9;53350.3
809;40.668000;25.830000;1047.17;37606.4;46967.3
810;36.818000;5.8300000;1047.15;37605.7;71145.4
811;41.778000;12.150000;1046.49;37582.1;82090.0
812;39.818000;25.990000;1046.36;37577.5;76415.5
813;47.038000;-2.4000000;1045.28;37538.6;82402.4
814;36.928000;11.150000;1044.69;37517.5;66004.2
815;36.828000;5.8900000;1044.46;37509.0;69326.1
816;43.428000;-4.7100000;1044.37;37505.9;80772.1
817;36.948000;8.6200000;1042.68;37445.3;55185.9
818;43.528000;-1.5600000;1040.70;37374.1;82439.9
819;31.398000;30.230000;1040.50;37367.1;82201.9
