"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"62",62,6.98873634323151,146.249003745432,0,0,0,0,0,0,-559098.907458521,559098.907458521,59217108,74.021385,0,0,0,1.25,0.765475475888992,0.687295976129376,0.0789162321606335,160.384355490465,361.720034211769
"63",63,6.99119430998363,161.373832869796,0,0,0,0,0,0,-559295.544798691,559295.544798691,89455272,111.81909,0,0,0,1.25,0.746657867103386,0.683063028386151,0.0765021575807974,160.391414238175,362.177983745713
"64",64,6.99369289248189,173.609776504444,0,0,0,0,0,0,-559495.431398551,559495.431398551,136523952,170.65494,0,0,0,1.25,0.758438211976876,0.733478757388563,0.0834447475915204,160.398585176351,362.490741226008
"65",65,7.50997448565333,195.3160192385,0,0,0,0,0,0,-600797.958852266,600797.958852266,133146000,166.4325,0,0,0,1.25,0.736622901022508,0.688123084294436,0.0760330833920285,161.789986330072,362.950124359745
"66",66,8.06732813965445,204.116964327196,0,0,0,0,0,0,-645386.251172356,645386.251172356,47266444.8,59.083056,0,0,0,1.25,0.748027961276972,0.378060428425612,0.0424199657272064,163.114220215374,363.10881622128
"67",67,7.75373739512248,187.294277614162,0,0,0,0,0,0,-620298.991609799,620298.991609799,44290953.6,55.363692,0,0,0,1.25,0.766051431917606,0.713049897890699,0.0819349342961809,162.389897968744,362.792628092568
"68",68,7.26728510057648,169.732983514056,0,0,0,0,0,0,-581382.808046118,581382.808046118,33146655.6,41.4333195,0,0,0,1.25,0.771217794076506,0.315223077565741,0.0364658469783387,161.157572959405,362.396471632914
"69",69,7.08754162088256,159.65419956001,0,0,0,0,0,0,-567003.329670605,567003.329670605,33797472,42.24684,0,0,0,1.25,0.770358912965897,0.56326846999939,0.0650878329385041,160.664722533241,362.130234360365
"70",70,7.01931868007176,155.466518571762,0,0,0,0,0,0,-561545.494405741,561545.494405741,18045531.36,22.5569142,0,0,0,1.25,0.774359426947785,0.745029536002072,0.0865380966836607,160.471873320661,362.009592007338
"71",71,6.99623421919932,153.72654192202,0,0,0,0,0,0,-559698.737535946,559698.737535946,44456976,55.57122,0,0,0,1.25,0.771599188038586,0.523692735849384,0.0606121334644636,160.405874193487,361.957557196423
