date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;par;ocean_mixed_layer_thickness
2020-07-17;--;--;--;--;--;52.941715;10.2999267578125
2020-07-18;--;--;--;--;--;36.0873;10.2999267578125
2020-07-19;--;--;--;--;--;43.80817;10.2999267578125
2020-07-20;--;--;--;--;--;48.49122;10.2999267578125
2020-07-21;--;--;--;--;--;23.342354;10.2999267578125
2020-07-22;--;--;--;--;--;36.609493;10.2999267578125
2020-07-23;--;--;--;--;--;28.310081;10.4000244140625
2020-07-24;--;--;--;--;--;11.533472;10.4000244140625
2020-07-25;--;--;--;--;--;40.326942;10.4000244140625
2020-07-26;--;--;--;--;--;56.002457;10.4000244140625
2020-07-27;--;--;--;--;--;27.88706;10.4000244140625
2020-07-28;--;--;--;--;--;34.343086;10.2999267578125
2020-07-29;--;--;--;--;--;43.633415;10.2999267578125
2020-07-30;--;--;--;--;--;7.325229;12.0
2020-07-31;--;--;--;--;--;23.356264;11.0
2020-08-01;--;--;--;--;--;46.550777;10.4000244140625
2020-08-02;--;--;--;--;--;53.351696;10.2999267578125
2020-08-03;--;--;--;--;--;33.666298;10.2999267578125
2020-08-04;--;--;--;--;--;18.991251;10.9000244140625
2020-08-05;--;--;--;--;--;36.987823;11.0999755859375
2020-08-06;--;--;--;--;--;28.875404;10.7999267578125
2020-08-07;--;--;--;--;--;48.406494;10.4000244140625
2020-08-08;--;--;--;--;--;37.887665;10.2999267578125
2020-08-09;--;--;--;--;--;28.926918;10.2999267578125
2020-08-10;--;--;--;--;--;50.390892;10.2999267578125
2020-08-11;--;--;--;--;--;48.697998;10.2999267578125
2020-08-12;--;--;--;--;--;44.658955;10.2999267578125
2020-08-13;--;--;--;--;--;32.028763;10.2999267578125
2020-08-14;--;--;--;--;--;28.43929;10.2999267578125
2020-08-15;--;--;--;--;--;24.807024;10.4000244140625
2020-08-16;--;--;--;--;--;35.34945;10.4000244140625
2020-08-17;--;--;--;--;--;26.25827;10.4000244140625
2020-08-18;--;--;--;--;--;24.673239;10.4000244140625
2020-08-19;--;--;--;--;--;22.952412;10.4000244140625
2020-08-20;--;--;--;--;--;43.648136;20.9000244140625
2020-08-21;--;--;--;--;--;45.868675;20.2999267578125
2020-08-22;--;--;--;--;--;22.013521;14.0999755859375
2020-08-23;--;--;--;--;--;38.58005;10.7999267578125
2020-08-24;--;--;--;--;--;32.202427;10.9000244140625
2020-08-25;--;--;--;--;--;14.668954;16.4000244140625
2020-08-26;--;--;--;--;--;43.304714;13.5999755859375
2020-08-27;--;--;--;--;--;19.11616;10.699951171875
2020-08-28;--;--;--;--;--;40.323517;10.2999267578125
2020-08-29;--;--;--;--;--;34.145702;10.2999267578125
2020-08-30;--;--;--;--;--;41.12888;10.2999267578125
2020-08-31;--;--;--;--;--;15.3652;10.4000244140625
2020-09-01;--;--;--;--;--;30.194826;10.4000244140625
2020-09-02;--;--;--;--;--;31.822948;10.7999267578125
2020-09-03;--;--;;--;--;38.567078;10.5
2020-09-04;--;--;--;--;--;29.573223;10.2999267578125
2020-09-05;--;--;--;--;--;18.320393;10.2999267578125
2020-09-06;--;--;--;--;--;25.005333;10.2999267578125
2020-09-07;--;--;--;--;--;18.075232;10.2999267578125
2020-09-08;--;--;--;--;--;18.632088;10.2999267578125
2020-09-09;--;--;--;--;--;29.10578;10.2999267578125
2020-09-10;--;--;--;--;--;21.281311;10.2999267578125
2020-09-11;--;--;--;--;--;34.515465;10.5999755859375
2020-09-12;--;--;--;--;--;5.8686085;10.2999267578125
2020-09-13;--;--;--;--;--;5.5433846;11.199951171875
2020-09-14;--;--;--;--;--;8.145909;11.0999755859375
2020-09-15;--;--;--;--;--;6.4984317;10.5
2020-09-16;--;--;--;--;--;31.708132;10.2999267578125
2020-09-17;--;--;--;--;--;10.97367;10.4000244140625
2020-09-18;--;--;--;--;--;10.859254;10.5999755859375
2020-09-19;--;--;--;--;--;31.022984;10.5999755859375
2020-09-20;--;--;--;--;--;11.244131;10.4000244140625
2020-09-21;--;--;--;--;--;10.689056;10.4000244140625
2020-09-22;--;--;--;--;--;4.9909196;10.5
2020-09-23;--;--;--;--;--;28.542704;10.699951171875
2020-09-24;--;--;--;--;--;27.755783;24.2999267578125
2020-09-25;--;--;--;--;--;28.120724;25.9000244140625
2020-09-26;--;--;--;--;--;26.629673;12.5
2020-09-27;--;--;--;--;--;9.037496;10.5
2020-09-28;--;--;--;--;--;26.29734;10.699951171875
2020-09-29;--;--;--;--;--;16.334507;12.4000244140625
2020-09-30;--;--;--;--;--;25.161732;12.699951171875
2020-10-01;--;--;--;--;--;23.13163;10.4000244140625
2020-10-02;--;--;--;--;--;13.7097845;16.2999267578125
2020-10-03;--;--;--;--;--;11.970089;13.2999267578125
2020-10-04;--;--;--;--;--;2.0145416;18.4000244140625
2020-10-05;--;--;--;--;--;4.9034734;18.9000244140625
2020-10-06;--;--;--;--;--;8.220521;18.7999267578125
2020-10-07;--;--;--;--;--;16.921682;12.0
2020-10-08;--;--;--;--;--;17.846355;10.5999755859375
2020-10-09;--;--;--;--;--;15.285527;10.2999267578125
2020-10-10;--;--;--;--;--;20.408318;10.2999267578125
2020-10-11;--;--;--;--;--;9.897117;10.2999267578125
2020-10-12;--;--;--;--;--;18.9573;10.4000244140625
2020-10-13;--;--;--;--;--;18.484392;10.4000244140625
2020-10-14;--;--;--;--;--;18.869013;10.2999267578125
2020-10-15;--;--;--;--;--;17.034685;10.4000244140625
2020-10-16;--;--;--;--;--;8.023447;12.199951171875
2020-10-17;--;--;--;--;--;16.197987;13.7999267578125
2020-10-18;--;--;--;--;--;9.765033;13.4000244140625
2020-10-19;--;--;--;--;--;2.1050754;14.0999755859375
2020-10-20;--;--;--;--;--;15.078212;17.4000244140625
2020-10-21;--;--;--;--;--;7.7272367;10.4000244140625
2020-10-22;--;--;--;--;--;13.626089;10.5
2020-10-23;--;--;--;--;--;11.305293;13.0
2020-10-24;--;--;--;--;--;10.762037;28.199951171875
2020-10-25;--;--;--;--;--;0.47630218;29.7999267578125
2020-10-26;--;--;--;--;--;10.727303;24.2999267578125
2020-10-27;--;--;--;--;--;12.914155;20.5
2020-10-28;--;--;--;--;--;13.042177;23.699951171875
2020-10-29;--;--;--;--;--;3.2914722;27.5999755859375
2020-10-30;--;--;--;--;--;--;15.2999267578125
2020-10-31;--;--;--;--;--;--;22.5999755859375
2020-11-01;--;--;--;--;--;--;25.4000244140625
2020-11-02;--;--;--;--;--;--;17.199951171875
2020-11-03;--;--;--;--;--;--;19.0999755859375
2020-11-04;--;--;--;--;--;--;10.4000244140625
2020-11-05;--;--;--;--;--;--;10.2999267578125
2020-11-06;--;--;--;--;--;--;11.5999755859375
2020-11-07;--;--;--;--;--;--;10.5999755859375
2020-11-08;--;--;--;--;--;--;10.5999755859375
2020-11-09;--;--;--;--;--;--;10.4000244140625
2020-11-10;--;--;--;--;--;--;11.199951171875
2020-11-11;--;--;--;--;--;--;14.0999755859375
2020-11-12;--;--;--;--;--;--;15.699951171875
2020-11-13;--;--;--;--;--;--;16.199951171875
2020-11-14;--;--;--;--;--;--;21.5
2020-11-15;--;--;--;--;--;--;18.7999267578125
2020-11-16;--;--;--;--;--;--;18.9000244140625
2020-11-17;--;--;--;--;--;--;22.0
2020-11-18;--;--;--;--;--;--;16.5999755859375
2020-11-19;--;--;--;--;--;--;14.0999755859375
2020-11-20;--;--;--;--;--;--;12.0
2020-11-21;--;--;--;--;--;--;12.199951171875
2020-11-22;--;--;--;--;--;--;10.2999267578125
2020-11-23;--;--;--;--;--;--;11.0
2020-11-24;--;--;--;--;--;--;11.7999267578125
2020-11-25;--;--;--;--;--;--;10.4000244140625
2020-11-26;--;--;--;--;--;--;10.4000244140625
2020-11-27;--;--;--;--;--;--;10.4000244140625
