date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;ocean_mixed_layer_thickness;par;current_intensity
2020-04-26 12:00:00;5.6;86.79974;11.225;518.4;-3369.6;10.400024;0.2024827;3409.244
2020-04-27 12:00:00;5.6;91.0;10.954;1209.6001;-4060.8003;10.400024;0.48679906;4237.1255
2020-04-28 12:00:00;7.0;119.0;11.029;777.60004;-2419.2002;10.400024;0.14126396;2541.1003
2020-04-29 12:00:00;8.400001;147.0;11.041;-2332.8;3974.4004;10.400024;0.48070857;4608.45
2020-04-30 12:00:00;8.400001;128.79974;10.714;-172.8;-1728.0001;10.400024;0.54262257;1736.6187
2020-05-01 12:00:00;8.400001;100.79974;10.544;-1728.0001;-5011.2;10.400024;0.48688442;5300.765
2020-05-02 12:00:00;8.400001;82.599915;10.302;3110.4001;-2764.8;10.599976;0.22504552;4161.575
2020-05-03 12:00:00;7.0;84.0;10.195;345.6;-3628.8003;12.699951;0.38538334;3645.2202
2020-05-04 12:00:00;8.400001;105.0;10.325;432.00003;-4406.4004;13.299927;0.15943265;4427.5264
2020-05-05 12:00:00;11.2;106.400085;10.191;-691.2;-4665.6;17.699951;0.106584854;4716.5225
2020-05-06 12:00:00;12.6;126.0;10.134;259.2;-4752.0005;15.299927;0.588342;4759.064
2020-05-07 12:00:00;14.0;131.59991;10.36;691.2;-2160.0;12.400024;0.64292693;2267.8972
2020-05-08 12:00:00;12.6;134.40009;10.633;518.4;-518.4;10.799927;0.64217967;733.12836
2020-05-09 12:00:00;11.2;128.79974;10.834;-345.6;-1555.2001;10.5;0.5687886;1593.1373
2020-05-10 12:00:00;9.8;141.40009;11.365;950.4001;-4838.4004;10.400024;0.658436;4930.86
2020-05-11 12:00:00;11.2;133.0;10.541;-1641.6001;-5097.6006;12.299927;0.6616454;5355.407
2020-05-12 12:00:00;9.8;159.59991;10.67;-1123.2001;-2160.0;11.400024;0.45780993;2434.5798
2020-05-13 12:00:00;8.400001;170.79974;10.878;2246.4001;-3024.0;10.400024;0.66939276;3767.0798
2020-05-14 12:00:00;7.0;134.40009;10.837;1036.8;-3283.2002;10.400024;0.6707857;3443.0159
2020-05-15 12:00:00;7.0;113.400085;10.943;1641.6001;-4579.2;10.400024;0.39473692;4864.558
2020-05-16 12:00:00;4.2000003;82.599915;11.334;-86.4;-1728.0001;10.400024;0.478823;1730.1588
2020-05-17 12:00:00;7.0;109.19983;11.464;259.2;3542.4001;10.400024;0.37858486;3551.8706
2020-05-18 12:00:00;5.6;72.79974;11.246;864.00006;-1036.8;10.400024;0.597342;1349.6112
2020-05-19 12:00:00;5.6;49.0;11.45;-1036.8;-6134.4004;10.400024;0.40012679;6221.4004
2020-05-20 12:00:00;5.6;65.79974;11.751;-2332.8;-6652.801;10.5;0.17052811;7049.9443
2020-05-21 12:00:00;8.400001;113.400085;11.788;1814.4001;-3974.4004;12.900024;0.6528307;4368.9707
2020-05-22 12:00:00;11.2;63.0;11.124001;0.0;3456.0002;21.799927;0.45993003;3456.0002
2020-05-23 12:00:00;11.2;61.599915;11.017;-2764.8;-2073.6;17.799927;0.69864565;3456.0002
2020-05-24 12:00:00;12.6;86.79974;11.211;-2678.4001;-7603.2007;10.5;0.17620234;8061.1714
2020-05-25 12:00:00;12.6;92.400085;11.299;-1641.6001;-6998.4;10.400024;0.69946325;7188.3555
2020-05-26 12:00:00;15.400001;120.400085;11.147;-777.60004;-12009.602;10.299927;0.7045614;12034.749
2020-05-27 12:00:00;18.2;148.40009;11.414;-1036.8;-10800.0;10.299927;0.7041253;10849.652
2020-05-28 12:00:00;12.6;98.0;11.349;3110.4001;-9244.801;11.299927;0.5942125;9754.021
