"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"615",615,2.39823652792962,32.5628356570428,8873.66049543134,7400.09694337324,0.833720774682459,13980967105.8338,10485.7253293753,165.287588034927,80905015.9057374,16301143.1039824,70686912,88.35864,21.9912760107524,740.009694337324,444.005816602394,0.857053781337528,0.79448864094241,0.29783094956471,0.0243358679352088,0.0513064877204285,0.136986169655172
"616",616,3.29783502186856,53.2283627466305,9059.32894302949,7563.95461155724,0.430693127429055,13980967105.8338,10485.7253293753,162.29100229536,223547893.334762,74828982.0810204,54521443.2,68.151804,21.9769742261375,756.395461155724,453.837276693435,0.856907513196961,0.813766990989302,0.280308153242496,0.0234558403149841,0.147235377546723,0.369865585580295
"617",617,2.79151165860584,56.9959373949243,9343.815525774,7813.29950662468,0.30661560263955,13980967105.8338,10485.7253293753,314.473163906769,413832465.959297,143022208.199253,50959408.8,63.699261,21.9588600409489,781.329950662468,468.797970397481,0.856721824408805,0.789539258387909,0.520494247661576,0.0422484460809593,0.252411803141302,0.662421468902029
"618",618,2.98978531254818,54.4929072766416,9691.54956617226,8098.67624879114,0.230837598562785,13980967105.8338,10485.7253293753,252.838660763657,345240125.607832,118909278.092637,82692732,103.365915,21.966831699957,809.867624879114,485.920574927468,0.85680360134889,0.763648970570183,0.423097131294264,0.0332197515984662,0.207124963171334,0.533234225291456
"619",619,4.15983751001277,73.1662721377996,9969.31589130384,8324.54371025002,0.209183133824039,13980967105.8338,10485.7253293753,189.101801774195,261010864.411497,92591838.9364506,57014316,71.267895,21.9758106129332,832.454371025002,499.472622615001,0.856895599447434,0.840136759053166,0.286102819067118,0.0247161762081151,0.162511447743349,0.392429393893543
"620",620,4.09832795396862,75.4946124273641,10284.0725667732,8598.89743990634,0.209800138878479,13980967105.8338,10485.7253293753,349.870537779152,449155910.55778,169303012.829056,70033024.8,87.541281,21.9597572114841,859.889743990634,515.93384639438,0.856731032660462,0.898604872322486,0.462071983087003,0.0426878370423922,0.269578815200851,0.653403212352701
"621",621,2.8831776998435,51.467214697294,10645.3883133786,8891.5785615211,0.250840178630066,13980967105.8338,10485.7253293753,223.046064290647,314293186.188465,104479030.849497,39858878.4,49.823598,21.9724391340895,889.15785615211,533.494713691266,0.856861069079881,0.897890991823368,0.293369553357992,0.0270850917806534,0.170528023103434,0.442165356562185
"622",622,2.00382323906074,32.717156558017,10850.7380534794,9052.11954954011,0.364083592342238,13980967105.8338,10485.7253293753,88.6236721596622,148177232.350484,35271859.9559275,29255792.4,36.5697405,21.9869584069188,905.211954954011,543.127172972406,0.857009655579538,0.897413720302912,0.127752104468274,0.0117903780075645,0.0724994038446285,0.204838128514808
"623",623,1.51418581341535,25.8176244071722,10979.8115257027,9163.05784859594,0.308123611625361,13980967105.8338,10485.7253293753,131.643008733735,196115663.007284,46198957.3347038,75659868,94.574835,21.9826936674695,916.305784859594,549.783470915757,0.856966043341637,0.871375667723316,0.182646409549007,0.016366711518023,0.0868571549090476,0.267701024476271
"624",624,1.32938347452743,27.7047687368342,11219.0714106387,9375.55772645582,0.230615798543367,13980967105.8338,10485.7253293753,277.84950707431,392832324.069355,102357107.23079,82988628,103.735785,21.9662976198001,937.555772645582,562.533463587349,0.856798125426986,0.835002967704894,0.368491244532748,0.0316355177132852,0.160283424705629,0.523887066524225
"625",625,1.49906851046283,33.542051462129,11499.6611096061,9599.90895552662,0.227723892622728,13980967105.8338,10485.7253293753,164.934344583027,254430575.78676,62600690.464055,57347408.4,71.6842605,21.9789272615818,959.990895552662,575.994537331597,0.856927505052795,0.805491827553553,0.2315691968158,0.0191808238335505,0.105337510288867,0.331449108589011
"626",626,1.35163698651877,38.6615771887248,11793.3578870394,9858.77868803878,0.235618365896141,13980967105.8338,10485.7253293753,335.688965172498,471197941.043719,123671556.808083,70429916.4,88.0373955,21.9622909289441,985.877868803878,591.526721282327,0.856757031480131,0.804126781161967,0.436052545873365,0.0360497515762043,0.18061523192336,0.597571574172843
"627",627,1.08513130073411,40.7149572446038,12185.171856028,10184.8668690672,0.251808525334215,13980967105.8338,10485.7253293753,316.094087154953,465933181.62919,107788644.229484,55594948.8,69.493686,21.9639971858994,1018.48668690672,611.092012144031,0.85677453429885,0.791554055066929,0.405933265321056,0.0330356621464511,0.156136372488426,0.571951501826467
"628",628,1.11450768412904,47.8784822130992,12565.864320918,10502.0386832131,0.334744440979504,13980967105.8338,10485.7253293753,317.956437436007,468114172.925632,108500805.840756,35665401.6,44.581752,21.9651666690238,1050.20386832131,630.122320992788,0.856786528410276,0.763488746170228,0.411167691583893,0.0322756871334173,0.152998636231747,0.557276719862921
"629",629,1.54220023996661,64.4656925038161,12905.6341866017,10776.7468340983,0.486072142992958,13980967105.8338,10485.7253293753,228.502701801176,342086670.232908,86454910.0976508,25832637.6,32.290797,21.9754452668105,1077.67468340983,646.604810045897,0.856891858411861,0.723740403046502,0.311788331670387,0.023203309803862,0.124132352039949,0.39693106314947
"630",630,2.4103367377048,86.4180961589739,13157.9907213707,10981.8732248049,0.650442641750365,13980967105.8338,10485.7253293753,179.510308455819,263792981.995948,74536154.62299,22674510,28.3431375,21.9815540136181,1098.18732248049,658.912393488296,0.856954384465991,0.740930080165678,0.240783389439829,0.0183460554298111,0.108642836125986,0.30047902977369
"631",631,3.63746160181774,99.2810215514613,13431.6448231233,11217.6041251227,0.524672888103069,13980967105.8338,10485.7253293753,288.250933151144,385015428.246368,132912882.598848,55148824.8,68.936031,21.9737197652056,1121.76041251227,673.056247507363,0.856874187145217,0.77115420349121,0.349286849916111,0.0276963010938836,0.171777424015066,0.429354634105412
"632",632,2.61948818415717,82.8858834309005,13798.8609746738,11528.0120836011,0.523325237823439,13980967105.8338,10485.7253293753,332.668825509562,452253058.47569,145767826.441408,23821339.56,29.77667445,21.9698529760417,1152.80120836011,691.680725016068,0.856834570597844,0.825152602612749,0.363703333039012,0.0308574320617508,0.181816159791012,0.490612143543445
"633",633,2.01487014832718,50.5467499271892,14198.2602330228,11862.3826585929,0.527432379320698,13980967105.8338,10485.7253293753,335.769704494302,469251500.162551,140464957.432209,45387540,56.734425,21.9691470437752,1186.23826585929,711.742959515574,0.85682733571831,0.850644150826507,0.346495664426548,0.0303054184102783,0.171828020850226,0.494644186674402
"634",634,2.90819219826354,31.0295511043179,14604.5617223784,12201.1629041436,0.369201020500337,13980967105.8338,10485.7253293753,341.777087932267,461146152.613699,159562523.10566,90960339.6,113.7004245,21.9698112689067,1220.11629041436,732.069774248615,0.856834143174754,0.855321073859337,0.341260102451675,0.0300118453148591,0.18720213802857,0.472679132733398
"635",635,3.8644636023666,24.1316483058256,14914.3127344127,12441.6765646006,0.270365670860134,13980967105.8338,10485.7253293753,119.311135322216,192992184.258267,59570166.3281931,94116920.4,117.6461505,21.9873818106214,1244.16765646006,746.500593876034,0.857013983955075,0.851749403392223,0.132308809278736,0.0115896348617263,0.0835353041419084,0.194207489182409
"636",636,2.3664746771124,17.6403381466566,15176.1504612016,12677.2491978771,0.428937883999484,13980967105.8338,10485.7253293753,332.785235566265,437501207.195406,147152791.447308,17286663.96,21.60832995,21.9711699472966,1267.72491978771,760.634951872623,0.856848065871034,0.843104768632198,0.325882370532365,0.0282505872032549,0.168884852865463,0.431570877815977
