"","time","NH4","NO3","N_s","N_f","D","Yield_farm","Yield_per_m","Nf_change","Farm_NO3_demand","Farm_NH4_demand","V_EFF","volscale","Q","B_vol","B_line","g_Q","g_T","g_E","mu_g_EQT","f_NH4","f_NO3"
"589",589,3.79652365829703,53.3790498962916,224859.78404367,187456.242763869,11.3045790059909,0,0,525.732323891886,1126892912.70817,102434909.896902,26662567.2,33.328209,21.9953211868711,18745.6242763869,11247.3745658321,0.85709509819066,0.633725053041323,0.0737127321486161,0.00480456023304665,0.0308612827432996,0.0751639834703132
"590",590,8.09118594525097,38.6725340777755,225177.99484389,187672.018190856,17.3263747755599,0,0,-103.451856733991,359741216.714444,-192356193.542423,14932513.32,18.66564165,21.9984852837727,18767.2018190856,11260.3210914513,0.857127399182365,0.630781818015506,0.0223301377050884,0.00144876248611136,0.0112341876362395,0.024003878885634
"591",591,11.6041410251739,41.1062668108019,225073.807146852,187585.109307618,16.0158123746711,0,0,-70.38259808859,359203316.561597,-186625541.397604,31916280,39.89535,21.9984900708593,18758.5109307618,11255.1065584571,0.857127448040742,0.635109486009581,0.0248727448267247,0.00162479645453536,0.011584440549878,0.0239978834922496
"592",592,17.2859536499329,49.7542196805981,224874.296027233,187402.425286863,18.05540890207,0,0,-289.929314871672,109036106.154656,-305572245.337649,14318355.24,17.89794405,21.9995403305485,18740.2425286864,11244.1455172118,0.85713816648424,0.582242020844183,0.00756260984964132,0.000452905214925223,0.00362109672827033,0.00736509828232132
"593",593,17.1535807517456,57.8434096847571,224650.713599647,187232.680511382,15.0571917012196,0,0,-54.376717310135,365966746.171782,-179720698.78864,38656046.4,48.320058,21.9984776688592,18723.2680511382,11233.9608306829,0.857127321462307,0.563912976210154,0.0294747369799651,0.00170957678348877,0.0119872724246341,0.0245242331379211
"594",594,12.4796468327633,54.6905583417666,224717.676408332,187308.71161854,11.2005788719755,0,0,207.670738766062,677876061.005165,-33698063.3970506,29837782.8,37.2972285,21.9971823235844,18730.871161854,11238.5226971124,0.857114099554871,0.588998664016987,0.0513151720356701,0.00310870838292343,0.0217387041561376,0.0453045153963752
"595",595,8.80065118232167,48.388709506339,225038.371764198,187587.6263316,9.82430016939997,0,0,343.37611266334,854352568.458949,39630164.8144016,35665401.6,44.581752,21.9964400725662,18758.76263316,11255.257579896,0.857106522113426,0.541539686806473,0.0687713097469535,0.00383048380843815,0.0266391139019881,0.0569771469789034
"596",596,9.06756381283516,53.5627696332535,225156.313853324,187645.046636317,8.21219996299323,0,0,-205.974210520731,227320957.772008,-253649632.857383,45467932.8,56.834916,21.9990544855527,18764.5046636317,11258.702798179,0.857133208384606,0.44985872547874,0.0195009100251835,0.000902320022761173,0.00709664617516003,0.0151913391110599
"597",597,7.67622316001151,46.2731246844214,225095.411638645,187619.156801559,6.40818276490994,0,0,144.177056220203,607457689.681147,-79431409.0381837,64304478,80.3805975,21.9974641969383,18761.9156801559,11257.1494080935,0.857116976913757,0.435155018261875,0.0618546390837054,0.00276845594382826,0.0186961056599918,0.0405123734364379
"598",598,5.89102477502921,26.6975066203618,225186.06390746,187678.701500619,5.43144210345111,0,0,-103.981025408044,351530957.013459,-198528945.741762,59794122,74.7426525,21.9984879534515,18767.8701500619,11260.7220900371,0.857127426429876,0.711705006547794,0.0197528784907636,0.00144596257019766,0.0107718662668759,0.0234444716009971
"599",599,4.77568722759375,10.8901795900741,225273.720930814,187787.118312866,5.31659996733996,0,0,325.510013942298,797386912.559618,29912903.1503947,55260784.8,69.075981,21.9962286526754,18778.7118312866,11267.227098772,0.857104363637436,0.765411457436154,0.047423598205412,0.00373339905775633,0.0259864822708748,0.0531032809056082
"600",600,2.58313834307605,1.72232776993265,225618.697911992,188102.507861725,5.39622248602777,0,0,305.005193089375,643328406.572257,140116674.788383,55123904.4,68.9048805,21.9944545384714,18810.2507861725,11286.1504717035,0.857086248377748,0.735502357074177,0.0478736698050071,0.00362148392680435,0.0333150554369228,0.0427649174481481
"601",601,1.39223043360992,1.10100790177213,225821.008515754,188255.46677402,5.56731562146101,0,0,4.01178933706439,404888135.625564,-29718729.0702824,51616075.2,64.520094,21.995455557571,18825.546677402,11295.3280064412,0.857096470224003,0.700080705586956,0.0280720376713282,0.00202131034708214,0.0220397909990309,0.0268916170802633
"602",602,2.46715508288303,5.53712458376732,225951.621087694,188348.7680918,5.45933169562183,0,0,175.573922452692,655113685.465405,-44394737.7378846,58839960,73.54995,21.9964480456579,18834.87680918,11300.926085508,0.857106603512849,0.648418602292648,0.0439661323195642,0.00293217451980954,0.0210624705265369,0.0434905325178874
"603",603,3.2916734203638,6.60352683628985,226306.093592332,188667.387752106,5.04624436103091,0,0,467.452740026138,969614164.812711,122363326.953145,65523392.4,81.9042405,21.9949767836761,18866.7387752106,11320.0432651263,0.857091581435646,0.724738609646594,0.0600704349959562,0.004477655230168,0.0321063332771672,0.064258422603002
"604",604,3.06305306579098,4.7511559385793,226854.292685868,189130.085963356,5.3747252757211,0,0,457.943575444218,955082555.57168,148533815.781927,46975675.2,58.719594,21.9946169077415,18913.0085963356,11347.8051578014,0.857087906501131,0.722408290945228,0.0595061913645813,0.00442131532437914,0.0338183647018518,0.0631395842543288
"605",605,4.30323730776936,12.3111350296759,227253.157341155,189423.7653775,5.88428383643968,0,0,133.065066356211,634646720.089484,-64251566.2045952,50375610,62.9695125,21.9970773935502,18942.37653775,11365.42592265,0.857113028401086,0.683609186860829,0.0384356401233846,0.00270247292408652,0.0197625657389608,0.0419028057150486
"606",606,6.35063554726163,45.3129994090128,227511.95810637,189647.799614012,3.88369111947166,0,0,316.101211264728,834649310.02216,12871862.5214827,176619552,220.77444,21.9965514268777,18964.7799614012,11378.8679768407,0.857107658950949,0.712544209111174,0.0500329890858366,0.00366678027326489,0.024828500561576,0.0550466023443012
"607",607,9.41798819282864,89.1279697984454,228005.331384038,190074.506094176,2.45240332087032,0,0,539.702830887011,1095655910.69079,142453140.828557,195490188,244.362735,21.9955766856534,19007.4506094176,11404.4703656506,0.857097707016949,0.817044426499643,0.057588631870766,0.00483942776954846,0.0333227502904969,0.0721039194232459
