type;Parameter;Place;motu;service-id;product-id;longitude-min;longitude-max;latitude-min;latitude-max;resolution;level;first obs;last obs;source;variable;lien;mask;depth-min;depth-max;type
sat;Transparency;BS;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BS_OPTICS_L3_REP_OBSERVATIONS_009_096-TDS;dataset-oc-bs-opt-multi-l3-rrs412_1km_daily-rep-v02;26.507;41.993;40.0051;47.9949;1*1;3;16/09/1997;30/06/2021;marineCopernicus;RRS412 ;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BS_OPTICS_L3_REP_OBSERVATIONS_009_096/INFORMATION;0;;;NetCDF
sat;Transparency;BS;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BS_OPTICS_L3_NRT_OBSERVATIONS_009_042-TDS;dataset-oc-bs-opt-multi-l3-rrs412_1km_daily-rt-v02;26.507;41.993;40.0051;47.9949;0.3*0.3;3;01/01/2021;present;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BS_OPTICS_L3_NRT_OBSERVATIONS_009_042/INFORMATION;0;;;NetCDF
sat;Transparency;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BAL_OPTICS_L3_NRT_OBSERVATIONS_009_048-TDS;dataset-oc-bal-opt-olci_a-l3-rrs412_1km_daily-rt-v02;9.2589;30.2411;53.2555;65.8445;0.3*0.3;3;26/04/2016;present;marineCopernicus;RRS412_5 ;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BAL_OPTICS_L3_NRT_OBSERVATIONS_009_048/INFORMATION;0;;;NetCDF
sat;Transparency;NWS/IBI;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_REP_OBSERVATIONS_009_066-TDS;dataset-oc-atl-opt-multi_cci-l3-rrs412_1km_daily-rep-v02;-45.9948;12.9948;20.0052;65.9948;1*1;3;04/09/1997;31/12/2020;marineCopernicus;RRS412 ;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_REP_OBSERVATIONS_009_066/INFORMATION;0;;;NetCDF
sat;Transparency;NWS/IBI;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034-TDS;dataset-oc-atl-opt-multi_cci-l3-rrs412_1km_daily-rt-v02;-45.9948;12.9948 ;20.0052;65.9948;0.3*0.3;3;01/07/2020;present;marineCopernicus;RRS412 ;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_ATL_OPTICS_L3_NRT_OBSERVATIONS_009_034/INFORMATION;0;;;NetCDF
sat;Transparency;MED;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_MED_OPTICS_L3_REP_OBSERVATIONS_009_095-TDS;dataset-oc-med-opt-multi-l3-rrs412_1km_daily-rep-v02;-5.9936;36.4936;30.0051;45.9949;1*1;3;16/09/1997;31/12/2020;marineCopernicus;RRS412 ;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_MED_OPTICS_L3_REP_OBSERVATIONS_009_095/INFORMATION;0;;;NetCDF
sat;Transparency;MED;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_MED_OPTICS_L3_NRT_OBSERVATIONS_009_038-TDS;dataset-oc-med-opt-multi-l3-rrs412_1km_daily-rt-v02;-5.9936;36.4936;30.0051;45.9949;0.3*0.3;3;01/01/2021;present;marineCopernicus;RRS412;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_MED_OPTICS_L3_NRT_OBSERVATIONS_009_038/INFORMATION;0;;;NetCDF
sat;Chlorophyll-a;global;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_EUR_CHL_L3_NRT_OBSERVATIONS_009_050-TDS;dataset-oc-eur-chl-multi-l3-chl_1km_daily-rt-v02;-30;42.001;20;65.8571;1*1;3;01/01/2017;present;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_EUR_CHL_L3_NRT_OBSERVATIONS_009_050/INFORMATION;0;;;NetCDF
sat;Chlorophyll-a;Baltic;https://my.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BAL_CHL_L3_REP_OBSERVATIONS_009_080-TDS;dataset-oc-bal-chl-multi_cci-l3-chl_1km_daily-rep-v02;9.2589;30.2411 ;53.2555;65.8445;1*1;3;04/09/1997;30/06/2021;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BAL_CHL_L3_REP_OBSERVATIONS_009_080/INFORMATION;0;;;NetCDF
sat;Chlorophyll-a;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;OCEANCOLOUR_BAL_BGC_HR_L3_NRT_009_202-TDS;cmems_obs_oc_bal_bgc_tur-spm-chl_nrt_l3-hr-mosaic_P1D-m;8.9998;31.0002;53.0005;65.9995;0.1*0.1;3;01/01/2020;29/11/2021;marineCopernicus;CHL;https://resources.marine.copernicus.eu/product-detail/OCEANCOLOUR_BAL_BGC_HR_L3_NRT_009_202/INFORMATION;0;;;NetCDF
